Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Reejig,https://www.crunchbase.com/organization/reejig,"Artificial Intelligence, SaaS, Software","Sydney, New South Wales, Australia",Reejig is a talent intelligence platform,2200000,USD,2200000,Seed,"21,871",1,https://www.linkedin.com/company/reejig/about/?viewAsMember=true,https://reejig.com/,"MIke Reed, Shujia Zhang, Siobhan Savage"
Legal OS,https://www.crunchbase.com/organization/legal-os,"Legal, Software","Berlin, Berlin, Germany",Zero effort digital contracting.,2200000,USD,2200000,Seed,"24,484",2,https://www.linkedin.com/company/legal-os/,https://legalos.io,"Charlotte Kufus, Jake Jones, Lilian Breidenbach"
Howard,https://www.crunchbase.com/organization/howard,"Hospitality, Real Estate, Software","New York, New York, United States",World's first flex-use real estate platform.  Paving the way for a more flexible future in real estate.,2200000,USD,2200000,Seed,"27,311",1,,http://www.hihoward.com,"Derek Lee, Michael Jaindl"
Proteus,https://www.crunchbase.com/organization/proteus-e96d,"Industrial Engineering, Oil and Gas, Software","Aberdeen, Aberdeen City, United Kingdom",SaaS,2200000,USD,2200000,Seed,"54,095",1,https://www.linkedin.com/company/joinproteus,https://www.proteus-work.com,
Rockside,https://www.crunchbase.com/organization/blockchain-studio,"Blockchain, Developer Platform, Software","Neuilly-sur-seine, Ile-de-France, France",Enhanced Blockchain API to meet business needs.,1900000,EUR,2196785,Seed,"43,583",1,,https://rockside.io/,"Corentin Denoeud, Vincent Le Gallic"
OVRSEA,https://www.crunchbase.com/organization/ovrsea,"Logistics, Shipping, Software, Supply Chain Management","Paris, Ile-de-France, France",OVRSEA is a digital freight forwarder using cutting-edge technologies to provide a transparent and reliable service in global trade.,1900000,EUR,2175152,Seed,"24,449",1,https://www.linkedin.com/company/ovrsea/,https://ovrsea.com,Antoine Sauvage
MP Cloud Technologies,https://www.crunchbase.com/organization/mp-cloud-technologies,"Computer, Health Care, Software","Austin, Texas, United States","Cloud Technologies is the industry's only fully-hosted, cloud-based software for end-to-end patient-cycle management.",2171765,USD,2171765,Seed,"45,633",1,https://www.linkedin.com/company/mp-cloud-technologies/,https://www.mptechnologies.com/,
Sarus,https://www.crunchbase.com/organization/sarus-1f2d,"Analytics, Machine Learning, Privacy, Software","Paris, Ile-de-France, France",Privacy-by-design AI and analytics,2000000,EUR,2161400,Seed,"33,777",1,https://www.linkedin.com/company/sarus-technologies,https://sarus.tech,"Maxime Agostini, Nicolas Grislain, Vincent Lepage"
WeAre,https://www.crunchbase.com/organization/weare,"Architecture, Manufacturing, Software, Virtual Reality","Berlin, Berlin, Germany",WeAre enables you to boundlessly collaborate in virtual reality.,1820000,EUR,2134859,Seed,"37,239",1,https://www.linkedin.com/company/weare-rooms,http://www.weare-rooms.com,"Marvin Tekautschitz, Max Noelle"
Dashbird,https://www.crunchbase.com/organization/dashbird,"Application Performance Management, Developer Tools, SaaS, Software","Tallinn, Harjumaa, Estonia",AWS Lambda monitoring & debugging platform.  Serverless observability & troubleshooting. Serverless monitoring.,2100000,USD,2100000,Seed,"6,527",2,https://www.linkedin.com/company/11414046/,https://dashbird.io/,"Annika Helendi, Mikk Kirštein, Taavi Rehemägi"
Tropic,https://www.crunchbase.com/organization/tropic-4b35,"Marketing, Procurement, SaaS, Software","New York, New York, United States",Tropic is a buyer enablement platform that makes software purchasing easy and transparent.,2100000,USD,2100000,Seed,"11,449",1,https://www.linkedin.com/company/tropicapp,http://tropicapp.io,"David Campbell, Justin Etkin"
thatDot,https://www.crunchbase.com/organization/thatdot,"Analytics, Information Technology, Real Time, Software, Video Streaming","Portland, Oregon, United States","thatDot is a streaming data platform that connects, acts on, and explores streaming data for enterprise workflow and analytics.",2100000,USD,2100000,Seed,"14,215",1,https://www.linkedin.com/company/thatdot/,https://www.thatdot.com,Ryan Wright
Jido Maps,https://www.crunchbase.com/organization/jido-maps,"Artificial Intelligence, Augmented Reality, Developer APIs, Internet, Machine Learning, Software, Telecommunications, Virtual Reality","San Francisco, California, United States",Jido Maps is a software company that offers an API for persistent augmented reality.,2100000,USD,2100000,Seed,"78,140",3,https://www.linkedin.com/company/jido-maps/,https://www.jidomaps.com/,"Jaeyong Sung, Mark Stauber"
AccelData,https://www.crunchbase.com/organization/acceldata,"Application Performance Management, Big Data, Cloud Data Services, Enterprise Software, Infrastructure","San Jose, California, United States","AccelData unifies data observability through hybrid data lakes and warehouses, eliminating endless hours of troubleshooting.",2060000,USD,2060000,Seed,"19,348",1,https://www.linkedin.com/company/acceldata/,http://acceldata.io,"Ashwin Rajeeva, Gaurav Nagar, Raghu Mitra Kandikonda, Rohit Choudhary"
Lunchbox,https://www.crunchbase.com/organization/lunchbox-technologies,"Food and Beverage, Restaurants, Software","New York, New York, United States",Lunchbox is a collection of digital ordering platforms for restaurants.,2059996,USD,2059996,Seed,"5,203",1,https://www.linkedin.com/company/lunchboxtechnologies/,https://lunchbox.io/,"Andrew Boryk, Nabeel Alamgir"
Meeshkan,https://www.crunchbase.com/organization/meeshkan,"Analytics, Artificial Intelligence, Education, Machine Learning, Software","Helsinki, Southern Finland, Finland",Meeshkan is a network where you can train and test Machine Learning models in a massively parallel way on distributed nodes.,1800000,EUR,2031749,Seed,"23,807",3,https://www.linkedin.com/company/meeshkan/,https://meeshkan.com,"Idan Tene, Mike Solomon"
Journey Foods,https://www.crunchbase.com/organization/journey-foods,"Artificial Intelligence, Data Visualization, Food Processing, Industrial Automation, Machine Learning, Nutrition, SaaS, Snack Food, Software, Supply Chain Management","Austin, Texas, United States",Journey Foods solves food science and supply chain inefficiencies with enterprise software to help companies feed 8 billion people better.,2000000,USD,2000000,Seed,"1,282",5,,http://journeyfoods.io,"Andy Renaud, Riana Lynn"
taxProper,https://www.crunchbase.com/organization/taxproper,"Computer, FinTech, Software","Chicago, Illinois, United States",taxProper is a property tax management platform that provides homeowners with tools to save money on their property taxes.,2000000,USD,2000000,Seed,"2,943",2,https://www.linkedin.com/company/taxproper/,https://www.taxproper.com/,"Geoff Segal, Thomas Dowling"
Instnt,https://www.crunchbase.com/organization/instnt,"Banking, Financial Services, FinTech, Insurance, Software","New York, New York, United States",Instnt is the first risk and compliance liability insured online account opening and on-boarding service for businesses.,2000000,USD,2000000,Seed,"4,255",1,https://www.linkedin.com/company/instnt-inc,http://www.instnt.org,"Mimi Salcedo, Sunil Madhu"
Ethena,https://www.crunchbase.com/organization/ethena,"E-Learning, Human Resources, SaaS, Software","New York, New York, United States",Ethena is a software-as-a-service that sells anti-harassment training software.,2000000,USD,2000000,Seed,"4,337",1,https://www.linkedin.com/company/ethena/,https://www.goethena.com/,"Anne Solmssen, Roxanne Bras Petraeus"
OpenPhone,https://www.crunchbase.com/organization/openphone,"B2B, SaaS, Software, Telecommunications","San Francisco, California, United States",Phone app for businesses and professionals,2000000,USD,2000000,Seed,"9,139",2,https://www.linkedin.com/company/openphone/,https://www.openphone.co/,"Daryna Kulya, Mahyar Raissi"
Superb AI,https://www.crunchbase.com/organization/superb-ai,"Artificial Intelligence, Computer Vision, Machine Learning, Natural Language Processing, SaaS","San Mateo, California, United States","Superb AI is a Machine Learning data platform that creates, manipulates, and manages data without building custom tools.",2000000,USD,2000000,Seed,"11,686",2,https://www.linkedin.com/company/superb-ai/,https://www.superb-ai.com,"Hyun Kim, Hyundong Lee, Jonghyuk Lee, Jung Kwon Lee, Moonsu Cha"
Punch List,https://www.crunchbase.com/organization/punch-list,"Home Renovation, Mobile Apps, SaaS","San Francisco, California, United States","SaaS, Mobile App, Home Remodeling",2000000,USD,2000000,Seed,"12,479",3,https://www.linkedin.com/company/punch-list/,https://www.punchlist.com,"Andy Vella, Kyle Zink"
Alembic,https://www.crunchbase.com/organization/alembic-6007,Software,"San Francisco, California, United States",Alembic is a stealth phase startup in MarTech that is developing cutting edge new technology.,2000000,USD,2000000,Seed,"12,536",3,https://www.linkedin.com/company/getalembic,http://getalembic.com,"John Adams, Tomas Puig"
Maze.design,https://www.crunchbase.com/organization/maze-design,"Computer, Product Design, Software","Paris, Ile-de-France, France",Maze is a user testing platform that brings actionable insights to the design process.,2000000,USD,2000000,Seed,"12,832",2,https://www.linkedin.com/company/mazedesign/,https://maze.design/,"Jonathan Widawski, Thomas Mary"
Dataform,https://www.crunchbase.com/organization/dataform,"Big Data, Developer Platform, Software","London, England, United Kingdom",Dataform manages data pipelines in data warehouse.,2000000,USD,2000000,Seed,"13,960",1,https://www.linkedin.com/company/dataform-co/,https://dataform.co/,"Guillaume-Henri Huon, Lewis Hemens"
"GuideCX, Inc.",https://www.crunchbase.com/organization/guide-cx,"Consulting, Consumer Software, Information Technology, Internet, Project Management, Software","Draper, Utah, United States",GuideCX's platform enables a customer facing view into an implementation/procurement/renewal process... keeping everyone on the same page.,2000000,USD,2000000,Seed,"15,779",2,https://www.linkedin.com/company/guidecx,https://www.guidecx.com,Peter Ord
Voxel51,https://www.crunchbase.com/organization/voxel51,"Artificial Intelligence, Computer Vision, Machine Learning, Software","Ann Arbor, Michigan, United States","AI for Video: video analytics platform in the cloud and on-premises enabling fast, rich insights from image and video datasets",2000000,USD,2000000,Seed,"16,680",2,https://www.linkedin.com/company/voxel51/,https://voxel51.com/,"Brian Moore, Jason Corso"
Pronto,https://www.crunchbase.com/organization/pronto-app,"Apps, Smart Cities, Software, Transportation, Travel Accommodations","San Francisco, California, United States",Pronto is a fast-growing marketplace that provides ride-sharing and delivery services for second-tier cities in LATAM.,2000000,USD,2000000,Seed,"18,293",2,https://www.linkedin.com/company/tupronto,http://www.tupronto.mx/,"Gabriel Cano, Miguel Martinez Cano, Nydia Cano"
BlinkAI,https://www.crunchbase.com/organization/blinkai,"Artificial Intelligence, Computer, Information Technology, Machine Learning, Software","Boston, Massachusetts, United States",BlinkAI designs and develops artificial intelligence based application software to extract sensor information.,2000000,USD,2000000,Seed,"18,646",2,https://www.linkedin.com/company/blinkai-technologies/,https://www.blink.ai/,"Bo Zhu, Selina Liying Shen"
Bottlepay,https://www.crunchbase.com/organization/bottle-pay,"Apps, Bitcoin, Enterprise Software, FinTech, Mobile Payments","Newcastle, Newcastle upon Tyne, United Kingdom",Bottlepay is a fintech company opening the gateway to the digital economy,2000000,USD,2000000,Seed,"20,291",1,https://www.linkedin.com/company/bottlepay/,https://bottlepay.com,"Pete Cheyne, Peter O'Donoghue"
AdaptiLab,https://www.crunchbase.com/organization/adaptilab,"Artificial Intelligence, B2B, Machine Learning, SaaS, Software","Seattle, Washington, United States","AdaptiLab is a B2B, SaaS, machine learning, and recruiting company.",2000000,USD,2000000,Seed,"20,326",3,https://www.linkedin.com/company/adaptilab/,https://www.adaptilab.com/,"Allen Lu, James Wu"
Knogin,https://www.crunchbase.com/organization/knogin,"Analytics, Big Data, Cyber Security, Information Technology, Predictive Analytics, SaaS, Software","Dublin, Dublin, Ireland",Knogin delivers the entire Security Monitoring stack in a single tool without the need for a large Security Operations Team,2000000,USD,2000000,Seed,"22,279",2,https://www.linkedin.com/company/knogin,https://knogin.com,"Ken Gilmour, Michael Hidalgo"
